location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2020-01-06 12:04:53 +0100;73;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:07:33 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:09:57 +0100;70;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:14:01 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:14:59 +0100;101;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:19:59 +0100;79;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:24:23 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:24:56 +0100;83;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:29:59 +0100;101;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:34:36 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:34:53 +0100;135;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:39:02 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:39:58 +0100;111;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:44:33 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:44:49 +0100;134;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:45:38 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:49:59 +0100;83;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:51:26 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:54:59 +0100;150;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:58:55 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:59:54 +0100;131;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:04:58 +0100;100;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:09:55 +0100;6;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:09:57 +0100;137;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:12:20 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:14:48 +0100;113;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:19:00 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:19:54 +0100;147;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:24:03 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:24:59 +0100;155;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:28:38 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:29:42 +0100;99;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:31:01 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:34:53 +0100;159;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:39:29 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:39:58 +0100;160;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:44:39 +0100;9;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:44:59 +0100;218;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:49:12 +0100;6;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:49:59 +0100;192;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:54:19 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:54:58 +0100;249;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 13:58:32 +0100;2;regular;""
